FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,resultfile
tech,http://10.10.10.220:5080/tech,http://10.10.10.220:5080/users/sign_in,257,302,104,5,1,
other,http://10.10.10.220:5080/other,http://10.10.10.220:5080/users/sign_in,255,302,104,5,1,
faqs,http://10.10.10.220:5080/faqs,http://10.10.10.220:5080/users/sign_in,262,302,104,5,1,
admin,http://10.10.10.220:5080/admin,http://10.10.10.220:5080/users/sign_in,259,302,104,5,1,
t,http://10.10.10.220:5080/t,http://10.10.10.220:5080/users/sign_in,260,302,104,5,1,
policy,http://10.10.10.220:5080/policy,http://10.10.10.220:5080/users/sign_in,261,302,104,5,1,
space,http://10.10.10.220:5080/space,http://10.10.10.220:5080/users/sign_in,267,302,104,5,1,
member,http://10.10.10.220:5080/member,http://10.10.10.220:5080/users/sign_in,268,302,104,5,1,
2001,http://10.10.10.220:5080/2001,http://10.10.10.220:5080/users/sign_in,263,302,104,5,1,
link,http://10.10.10.220:5080/link,http://10.10.10.220:5080/users/sign_in,264,302,104,5,1,
join,http://10.10.10.220:5080/join,http://10.10.10.220:5080/users/sign_in,270,302,104,5,1,
static,http://10.10.10.220:5080/static,http://10.10.10.220:5080/users/sign_in,269,302,104,5,1,
releases,http://10.10.10.220:5080/releases,http://10.10.10.220:5080/users/sign_in,266,302,104,5,1,
training,http://10.10.10.220:5080/training,http://10.10.10.220:5080/users/sign_in,265,302,104,5,1,
weather,http://10.10.10.220:5080/weather,http://10.10.10.220:5080/users/sign_in,272,302,104,5,1,
health,http://10.10.10.220:5080/health,http://10.10.10.220:5080/users/sign_in,271,302,104,5,1,
